,OBJECTID,Join_Count,TARGET_FID,Join_Count.1,TARGET_FID.1,Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Mile2,GEO,Mile2_1,CA_tract,Differ_are,Differ_ran,rural,STATEFP 1,COUNTYFP 1,County,TRACTCE 1,GEOID 1,NAME 1,NAMELSAD 1,ALAND 1,AWATER 1,INTPTLAT 1,INTPTLON 1,Tract,urban_rura,POPULATION,DAC,CIscore,CIscoreP,Traffic_Pc,DAC_cat,MHI_2019_5,Avg_hshld_,HCD_Low_20,HCD_Modera,State_MHI_,State_MHI1,Income_Gro,Shape_Leng,x,y,GreaterRegion,DAC/LIC,DCFC,EV Network Clean
2032,2033,1,2033,1,2033,ELEC,6040 Jefferson Blvd,6040 Jefferson Blvd,,Los Angeles,CA,90016,,888-356-8911,E,,Public,24 hours daily,,,,,,1,,,FLO,https://flo.ca/,GPS,34.020981,-118.380251,11/4/2024,155561,2024-11-04 04:09:03 UTC,,,,4/24/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,6,37,702502,6037702502,7025.02,Census Tract 7025.02,G5020,S,1799487,16889,34.0124336,-118.3860791,0.70130806,6037702502,0.70130806,6037702502,1,1,0,6,37,Los Angeles County,702502,6037702502,7025.02,Census Tract 7025.02,1798264,16889,34.0125885,-118.3858998,6037702502,Urban,3757,,0,0,0, ,"$86,959 ",2,"$75,700 ","$76,800 ",75235,115.58%,Middle,7917.452348,-118.380251,34.020981,Los Angeles,0,0,FLO
2033,2034,1,2034,1,2034,ELEC,Walmart 1692 Colton,1120 S. Mount Vernon Avenue,,Colton,CA,92324,,833-632-2778,E,,Public,24 hours daily,,,,,,,6,,Electrify America,https://www.electrifyamerica.com/,GPS,34.04963,-117.30764,11/4/2024,155575,2024-11-04 03:32:05 UTC,,,,4/25/2020,,,,,J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,6,71,7108,6071007108,71.08,Census Tract 71.08,G5020,S,2696921,168572,34.0594186,-117.3061493,1.10637125,6071007108,1.10637125,6071007108,1,2,0,6,71,San Bernardino County,7108,6071007108,71.08,Census Tract 71.08,2292818,649249,34.0593419,-117.3058187,6071007108,Urban,2191,Disadvantaged Community,39.49208676,74.15532022,96.3625,2017 Disadvantaged Community (CalEnviroScreen 3.0 only),"$44,183 ",2,"$50,600 ","$74,400 ",75235,58.73%,Low,8690.959306,-117.30764,34.04963,Southern Other,1,1,Electrify America
2034,2035,1,2035,1,2035,ELEC,BOA Emeryville CA4-137,4120 San Pablo Avenue,,Emeryville,CA,94608,,833-632-2778,E,,Public,24 hours daily,,,,,,,3,,Electrify America,https://www.electrifyamerica.com/,GPS,37.83268,-122.27974,11/4/2024,155576,2024-11-04 03:35:15 UTC,,,,4/25/2020,,,,,J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,6,1,425104,6001425104,4251.04,Census Tract 4251.04,G5020,S,1087241,0,37.8326584,-122.2833245,0.4197846,6001425104,0.4197846,6001425104,1,1,0,6,1,Alameda County,425104,6001425104,4251.04,Census Tract 4251.04,1088891,0,37.8326423,-122.2833382,6001425104,Urban,3539,Disadvantaged Community,28.53190645,55.95057993,43.8,2017 Disadvantaged Community (CalEnviroScreen 3.0 only),"$72,315 ",2,"$87,700 ","$120,550 ",75235,96.12%,Low,4657.844786,-122.27974,37.83268,San Francisco,1,1,Electrify America
2035,2036,1,2036,1,2036,ELEC,PARKWOODVILLAGE STATION 1,1033 Southwood Dr,,San Luis Obispo,CA,93401,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,35.264782,-120.64369,11/5/2024,155597,2024-11-05 01:20:17 UTC,,,,4/28/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,6,79,11001,6079011001,110.01,Census Tract 110.01,G5020,S,8696822,0,35.2739658,-120.6236209,3.35786216,6079011001,3.35786216,6079011001,0.25301197,9,0,6,79,San Luis Obispo County,11001,6079011001,110.01,Census Tract 110.01,8698711,0,35.2739653,-120.6236236,6079011001,Rural,5006,,0,0,0, ,"$69,512 ",2,"$62,600 ","$93,900 ",75235,92.39%,Middle,16728.85398,-120.64369,35.264782,Los Angeles,0,0,ChargePoint Network
2036,2037,1,2037,1,2037,ELEC,City of Palm Springs - International Airport,3400 E Tahquitz Canyon Way,,Palm Springs,CA,92262,,760-323-8214,E,,Public,24 hours daily; pay lot,,,,,,2,,,Non-Networked,,GPS,33.823017,-116.509061,1/10/2023,155603,2023-02-14 15:54:11 UTC,P,,,4/20/2020,,,,,J1772,US,,,,Public,,public,,,AIRPORT,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,6,65,941200,6065941200,9412,Census Tract 9412,G5020,S,13019332,0,33.8375996,-116.5019552,5.02678918,6065941200,5.02678918,6065941200,0.79048099,4,0,6,65,Riverside County,941200,6065941200,9412,Census Tract 9412,13017881,0,33.8376004,-116.5019562,6065941200,Urban,2735,,0,0,0, ,"$80,438 ",2,"$50,600 ","$74,400 ",75235,106.92%,Middle,19378.0791,-116.509061,33.823017,Southern Other,0,0,Other
2037,2038,1,2038,1,2038,ELEC,PRP NATIONALCTY B01,2300 Sweetwater Rd,,National City,CA,91950,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,32.659824,-117.074666,11/5/2024,155872,2024-11-05 01:21:13 UTC,,,,4/30/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,6,73,12200,6073012200,122,Census Tract 122,G5020,S,1724142,47893,32.6639283,-117.0738537,0.68418581,6073012200,0.68418581,6073012200,1,1,0,6,73,San Diego County,12200,6073012200,122,Census Tract 122,1716757,48168,32.6639283,-117.0738537,6073012200,Urban,3657,,0,0,0, ,"$52,557 ",4,"$97,000 ","$114,100 ",75235,69.86%,Low,5923.988617,-117.074666,32.659824,San Diego,1,0,ChargePoint Network
2038,2039,1,2039,1,2039,ELEC,Palmdale Park & Ride,210 E Ave S,,Palmdale,CA,93551,,1-866-300-3827,E,,Public,,,,,,,,4,,EVCS,https://evcs.com,GPS,34.557498,-118.129131,11/4/2024,155913,2024-11-04 04:30:40 UTC,,,,3/25/2020,,,,,CHADEMO J1772COMBO TESLA,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,6,37,910213,6037910213,9102.13,Census Tract 9102.13,G5020,S,28230344,1040326,34.5379508,-118.1303814,11.3015001,6037910213,11.3015001,6037910213,0.07664538,11,1,6,37,Los Angeles County,910205,6037910205,9102.05,Census Tract 9102.05,28198040,1040329,34.5379495,-118.1303796,6037910205,Rural,1225,,0,0,0, ,"$65,431 ",3,"$85,150 ","$86,400 ",75235,86.97%,Low,24576.2234,-118.129131,34.557498,Los Angeles,1,1,Other
2039,2040,1,2040,1,2040,ELEC,City of Los Angeles Lot 675,4642 Russell Ave,,Los Angeles,CA,90027,,1-866-300-3827,E,,Public,,,,,,,,8,,EVCS,https://evcs.com,GPS,34.103853,-118.291052,11/4/2024,155914,2024-11-04 04:30:36 UTC,,,,3/11/2020,,,,,CHADEMO J1772COMBO TESLA,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,6,37,189101,6037189101,1891.01,Census Tract 1891.01,G5020,S,395232,0,34.1047367,-118.288505,0.15260051,6037189101,0.15260051,6037189101,1,1,0,6,37,Los Angeles County,189101,6037189101,1891.01,Census Tract 1891.01,395232,0,34.1047367,-118.288505,6037189101,Urban,2521,Disadvantaged Community,30.39193791,59.46797781,52.725,2017 Disadvantaged Community (CalEnviroScreen 3.0 only),"$81,591 ",2,"$75,700 ","$76,800 ",75235,108.45%,Middle,2516.644308,-118.291052,34.103853,Los Angeles,1,1,Other
2040,2041,1,2041,1,2041,ELEC,City of Los Angeles Lot 656,1615 Colby Ave,,Los Angeles,CA,90025,,1-866-300-3827,E,,Public,,,,,,,,4,,EVCS,https://evcs.com,GPS,34.044569,-118.452662,11/4/2024,155915,2024-11-04 04:30:34 UTC,,,,3/11/2020,,,,,CHADEMO J1772COMBO TESLA,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,6,37,267300,6037267300,2673,Census Tract 2673,G5020,S,430298,0,34.0452043,-118.4496931,0.16613946,6037267300,0.16613946,6037267300,0.99999998,2,0,6,37,Los Angeles County,267300,6037267300,2673,Census Tract 2673,430300,0,34.0452043,-118.4496931,6037267300,Urban,4235,,0,0,0, ,"$68,913 ",2,"$75,700 ","$76,800 ",75235,91.60%,Low,2644.619834,-118.452662,34.044569,Los Angeles,1,1,Other
2041,2042,1,2042,1,2042,ELEC,City of Los Angeles Lot 619,1451 N Gardner St,,West Hollywood,CA,90046,,1-866-300-3827,E,,Public,,,,,,,,8,,EVCS,https://evcs.com,GPS,34.097765,-118.353169,11/4/2024,155916,2024-11-04 04:30:35 UTC,,,,3/11/2020,,,,,CHADEMO J1772COMBO TESLA,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,FALSE,,6,37,189907,6037189907,1899.07,Census Tract 1899.07,G5020,S,162253,0,34.0961994,-118.3517319,0.06264645,6037189907,0.06264645,6037189907,0.99999991,2,0,6,37,Los Angeles County,189902,6037189902,1899.02,Census Tract 1899.02,365023,0,34.0961801,-118.3490051,6037189902,Urban,5371,,0,0,0, ,"$63,214 ",2,"$75,700 ","$76,800 ",75235,84.02%,Low,2617.057231,-118.353169,34.097765,Los Angeles,1,1,Other
2042,2043,1,2043,1,2043,ELEC,Burbank Elementary,222 Burbank St,,Hayward,CA,94541,,866-816-7584,E,,Public,24 hours daily,,,,,,2,,,EV Connect,http://evconnect.com/,GPS,37.666229,-122.095195,11/4/2024,155976,2024-11-04 03:44:36 UTC,,,,2/14/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,6,1,436301,6001436301,4363.01,Census Tract 4363.01,G5020,S,1057643,0,37.6678078,-122.0945904,0.40835868,6001436301,0.40835868,6001436301,1,2,0,6,1,Alameda County,436300,6001436300,4363,Census Tract 4363,1831137,0,37.666274,-122.0917198,6001436300,Urban,9444,,0,0,0, ,"$90,100 ",3,"$98,650 ","$135,650 ",75235,119.76%,Low,5954.015874,-122.095195,37.666229,San Francisco,1,0,Other
2043,2044,1,2044,1,2044,ELEC,Schafer Park Elementary School,26268 Flamingo Ave,,Hayward,CA,94544,,866-816-7584,E,,Public,24 hours daily,,,,,,3,,,EV Connect,http://evconnect.com/,GPS,37.642405,-122.086168,11/4/2024,155978,2024-11-04 03:44:28 UTC,,,,10/29/2019,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,6,1,437400,6001437400,4374,Census Tract 4374,G5020,S,858407,0,37.6428175,-122.0876396,0.33143128,6001437400,0.33143128,6001437400,1,1,0,6,1,Alameda County,437400,6001437400,4374,Census Tract 4374,861191,0,37.6428333,-122.0876528,6001437400,Urban,3485,,0,0,0, ,"$86,210 ",4,"$109,600 ","$150,700 ",75235,114.59%,Low,4237.991675,-122.086168,37.642405,San Francisco,1,0,Other
2044,2045,1,2045,1,2045,ELEC,John Muir Elementary,"24823 Soto Rd,",,Hayward,CA,94544,,866-816-7584,E,,Public,24 hours daily,,,,,,2,,,EV Connect,http://evconnect.com/,GPS,37.65658,-122.083414,11/4/2024,155979,2024-11-04 03:44:27 UTC,,,,10/3/2019,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,6,1,436602,6001436602,4366.02,Census Tract 4366.02,G5020,S,894284,0,37.6518201,-122.0851944,0.34528414,6001436602,0.34528414,6001436602,1,1,0,6,1,Alameda County,436602,6001436602,4366.02,Census Tract 4366.02,891670,0,37.6518342,-122.0851742,6001436602,Urban,5113,,0,0,0, ,"$66,184 ",3,"$98,650 ","$135,650 ",75235,87.97%,Low,4092.041435,-122.083414,37.65658,San Francisco,1,0,Other
2045,2046,1,2046,1,2046,ELEC,Eldgridge Elementary,26825 Eldridge Ave,,Hayward,CA,94544,,866-816-7584,E,,Public,24 hours daily,,,,,,2,,,EV Connect,http://evconnect.com/,GPS,37.636218,-122.085831,11/4/2024,155980,2024-11-04 03:44:25 UTC,,,,9/10/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,6,1,437600,6001437600,4376,Census Tract 4376,G5020,S,818977,0,37.6353602,-122.0804834,0.31620937,6001437600,0.31620937,6001437600,1,1,0,6,1,Alameda County,437600,6001437600,4376,Census Tract 4376,818977,0,37.6353602,-122.0804834,6001437600,Urban,3536,,0,0,0, ,"$85,543 ",4,"$109,600 ","$150,700 ",75235,113.70%,Low,4049.944201,-122.085831,37.636218,San Francisco,1,0,Other
2046,2047,1,2047,1,2047,ELEC,Hayward High School,1633 East Ave,,Hayward,CA,94541,,866-816-7584,E,,Public,24 hours daily,,,,,,11,,,EV Connect,http://evconnect.com/,GPS,37.67183,-122.069135,11/4/2024,155982,2024-11-04 03:44:26 UTC,,,,8/1/2021,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,6,1,436403,6001436403,4364.03,Census Tract 4364.03,G5020,S,1542887,0,37.6692772,-122.0710807,0.59571094,6001436403,0.59571094,6001436403,0.99999998,2,0,6,1,Alameda County,436401,6001436401,4364.01,Census Tract 4364.01,3116599,0,37.6715227,-122.0650918,6001436401,Urban,7173,,0,0,0, ,"$91,375 ",2,"$87,700 ","$120,550 ",75235,121.45%,Middle,8296.255365,-122.069135,37.67183,San Francisco,0,0,Other
2047,2048,1,2048,1,2048,ELEC,Ripon Love鈥檚 Travel Stop,1553 W. Colony Rd,,Ripon,CA,95366,,866-816-7584,E,,Public,24 hours daily,,,,,,2,2,,EV Connect,http://evconnect.com/,GPS,37.755639,-121.141703,11/4/2024,155990,2024-11-04 03:44:37 UTC,,,,3/1/2020,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,6,77,5003,6077005003,50.03,Census Tract 50.03,G5020,S,70232813,153400,37.7850141,-121.1158332,27.17626141,6077005003,27.17626141,6077005003,0.05237082,11,1,6,77,San Joaquin County,5003,6077005003,50.03,Census Tract 50.03,70218747,172478,37.7850141,-121.1158332,6077005003,Rural,5947,,0,0,0, ,"$101,957 ",3,"$54,000 ","$81,000 ",75235,135.52%,High,41987.39362,-121.141703,37.755639,Central Other,0,1,Other
2048,2049,1,2049,1,2049,ELEC,LONG BEACH GRANADA 4,4435 E Ocean Blvd,,Long Beach,CA,90803,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,33.757874,-118.1432,11/5/2024,155999,2024-11-05 01:17:11 UTC,,,,5/1/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,6,37,577300,6037577300,5773,Census Tract 5773,G5020,S,906095,2308465,33.7398185,-118.1397692,1.24115041,6037577300,1.24115041,6037577300,0.27658958,9,0,6,37,Los Angeles County,577300,6037577300,5773,Census Tract 5773,906156,2302747,33.7398185,-118.1397692,6037577300,Rural,5431,,0,0,0, ,"$86,035 ",2,"$75,700 ","$76,800 ",75235,114.36%,Middle,8110.40642,-118.1432,33.757874,Los Angeles,0,0,ChargePoint Network
2049,2050,1,2050,1,2050,ELEC,NEW ERA NEW ERA,682 Rancheros Dr,Behind Wild Barrel Brewery (North),San Marcos,CA,92069,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,33.141132,-117.14553,11/5/2024,156031,2024-11-05 01:21:10 UTC,,,,5/2/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,6,73,20023,6073020023,200.23,Census Tract 200.23,G5020,S,3396077,0,33.1460483,-117.1468092,1.31123214,6073020023,1.31123214,6073020023,1,1,0,6,73,San Diego County,20023,6073020023,200.23,Census Tract 200.23,3390061,0,33.1460671,-117.146847,6073020023,Urban,4656,,0,0,0, ,"$90,885 ",3,"$87,300 ","$102,700 ",75235,120.80%,Middle,9578.14368,-117.14553,33.141132,San Diego,0,0,ChargePoint Network
2050,2051,1,2051,1,2051,ELEC,4CD DO,500 Court St,,Martinez,CA,94553,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,38.019217,-122.135422,11/5/2024,156051,2024-11-05 01:21:15 UTC,,,,5/5/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,6,13,316000,6013316000,3160,Census Tract 3160,G5020,S,1522707,1354774,38.0234589,-122.1383209,1.11100328,6013316000,1.11100328,6013316000,0.52696693,6,0,6,13,Contra Costa County,316000,6013316000,3160,Census Tract 3160,1521060,1354774,38.0234596,-122.1383116,6013316000,Rural,1055,,0,0,0, ,"$32,604 ",2,"$87,700 ","$120,550 ",75235,43.34%,Low,9617.512807,-122.135422,38.019217,San Francisco,1,0,ChargePoint Network
2051,2052,1,2052,1,2052,ELEC,NORCO CITY HALL NORCO CH-1,2870 Clark Ave,City Hall Parking Lot,Norco,CA,92860,,888-758-4389,E,,Public,24 hours daily,,,,,,,1,,ChargePoint Network,http://www.chargepoint.com/,GPS,33.923803,-117.561284,11/5/2024,156072,2024-11-05 01:21:35 UTC,,,,5/6/2020,,,,,CHADEMO J1772COMBO,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,6,65,46601,6065046601,466.01,Census Tract 466.01,G5020,S,2444736,190420,33.927069,-117.5730342,1.01743977,6065046601,1.01743977,6065046601,1,1,0,6,65,Riverside County,46601,6065046601,466.01,Census Tract 466.01,2446217,190420,33.927069,-117.5730342,6065046601,Urban,3385,,0,0,0, ,"$84,750 ",3,"$56,900 ","$83,700 ",75235,112.65%,Middle,7911.271234,-117.561284,33.923803,Southern Other,0,1,ChargePoint Network
2052,2053,1,2053,1,2053,ELEC,DC CORRIDOR EDDIES Y L2,36017 Calico Blvd,,Yermo,CA,92398,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,34.90752,-116.836025,11/5/2024,156073,2024-11-05 01:21:16 UTC,,,,5/6/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,6,71,11602,6071011602,116.02,Census Tract 116.02,G5020,S,3436591125,584096,35.0494454,-117.2941317,1327.100735,6071011602,1327.100735,6071011602,0,12,1,6,71,San Bernardino County,11600,6071011600,116,Census Tract 116,3437954561,19716477,35.1232133,-117.2025986,6071011600,Rural,8488,,0,0,0, ,"$68,644 ",3,"$56,900 ","$83,700 ",75235,91.24%,Middle,330708.5737,-116.836025,34.90752,Southern Other,0,0,ChargePoint Network
2053,2054,1,2054,1,2054,ELEC,9889 Beachy Ave,9889 Beachy Ave,,Los Angeles,CA,91331,,888-356-8911,E,,Public,24 hours daily,,,,,,1,,,FLO,https://flo.ca/,GPS,34.251156,-118.441415,11/4/2024,156089,2024-11-04 04:08:04 UTC,,,,5/6/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,6,37,119201,6037119201,1192.01,Census Tract 1192.01,G5020,S,947368,4796,34.2462338,-118.440639,0.36763276,6037119201,0.36763276,6037119201,0.99999998,2,0,6,37,Los Angeles County,119201,6037119201,1192.01,Census Tract 1192.01,947373,4796,34.2462338,-118.440639,6037119201,Urban,4547,Disadvantaged Community,41.35390319,77.20625315,42.1875,CalEnviroScreen 4.0 Top 25%,"$91,111 ",5,"$102,200 ","$103,700 ",75235,121.10%,Low,3946.820144,-118.441415,34.251156,Los Angeles,1,0,FLO
2054,2055,1,2055,1,2055,ELEC,7123 Tampa Ave,7123 Tampa Ave,,Reseda,CA,91335,,888-356-8911,E,,Public,24 hours daily,,,,,,1,,,FLO,https://flo.ca/,GPS,34.199935,-118.553646,11/4/2024,156091,2024-11-04 04:08:44 UTC,,,,5/6/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,6,37,133000,6037133000,1330,Census Tract 1330,G5020,S,997188,5043,34.196082,-118.5571125,0.38696365,6037133000,0.38696365,6037133000,0.99999999,2,0,6,37,Los Angeles County,133000,6037133000,1330,Census Tract 1330,997188,5043,34.196082,-118.5571125,6037133000,Urban,4778,Disadvantaged Community,48.14229212,85.66565809,66.8375,CalEnviroScreen 4.0 Top 25%,"$72,864 ",4,"$94,600 ","$96,000 ",75235,96.85%,Low,4315.72146,-118.553646,34.199935,Los Angeles,1,0,FLO
2055,2056,1,2056,1,2056,ELEC,550 KEARNY STATION 1,665 Sacramento St,Inside parking garage ground level,San Francisco,CA,94111,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,37.793514,-122.404236,11/5/2024,156095,2024-11-05 01:20:33 UTC,,,,5/7/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,6,75,11700,6075011700,117,Census Tract 117,G5020,S,551749,0,37.7904975,-122.403475,0.21303185,6075011700,0.21303185,6075011700,1,2,0,6,75,San Francisco County,11700,6075011700,117,Census Tract 117,551749,0,37.7904975,-122.403475,6075011700,Urban,1790,,0,0,0, ,"$63,250 ",2,"$117,100 ","$143,600 ",75235,84.07%,Low,3615.447012,-122.404236,37.793514,San Francisco,1,0,ChargePoint Network
2056,2057,1,2057,1,2057,ELEC,8935 Mason Ave,8935 Mason Ave,,Chatsworth,CA,91311,,888-356-8911,E,,Public,24 hours daily,,,,,,1,,,FLO,https://flo.ca/,GPS,34.232554,-118.579667,11/4/2024,156105,2024-11-04 04:08:42 UTC,,,,5/7/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,6,37,113426,6037113426,1134.26,Census Tract 1134.26,G5020,S,1861894,4116,34.2358383,-118.5796232,0.72047069,6037113426,0.72047069,6037113426,1,1,0,6,37,Los Angeles County,113421,6037113421,1134.21,Census Tract 1134.21,2196805,8498,34.2335792,-118.5830621,6037113421,Urban,6879,Disadvantaged Community,43.07118092,79.61422088,56.125,CalEnviroScreen 4.0 Top 25%,"$65,060 ",3,"$85,150 ","$86,400 ",75235,86.48%,Low,6598.241253,-118.579667,34.232554,Los Angeles,1,0,FLO
2057,2058,1,2058,1,2058,ELEC,University of San Diego - Main,5998 Alcala Park,,San Diego,CA,92110,,888-998-2546,E,,Public,24 hours daily,,,,,,7,,,Blink Network,http://www.blinkcharging.com/,GPS,32.77238744,-117.185697,11/5/2024,156132,2024-11-05 00:12:05 UTC,,,,5/8/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,,,,,,,,,,FALSE,,6,73,9109,6073009109,91.09,Census Tract 91.09,G5020,S,853302,0,32.7724256,-117.1908305,0.32946175,6073009109,0.32946175,6073009109,1,1,0,6,73,San Diego County,9106,6073009106,91.06,Census Tract 91.06,2392897,0,32.7712924,-117.1982651,6073009106,Urban,5112,,0,0,0, ,"$81,250 ",2,"$77,600 ","$91,300 ",75235,107.99%,Middle,8204.06759,-117.185697,32.77238744,San Diego,0,0,Other
2058,2059,1,2059,1,2059,ELEC,QUAGLINO PROP STATION 2,892 Aerovista Pl,,San Luis Obispo,CA,93401,,888-758-4389,E,,Public,24 hours daily,,,,,,2,,,ChargePoint Network,http://www.chargepoint.com/,GPS,35.24324,-120.64072,11/5/2024,156135,2024-11-05 01:16:47 UTC,,,,5/8/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,6,79,11505,6079011505,115.05,Census Tract 115.05,G5020,S,309871377,2411536,35.2663053,-120.5614766,120.5731697,6079011505,120.5731697,6079011505,0.02382024,11,1,6,79,San Luis Obispo County,11503,6079011503,115.03,Census Tract 115.03,26754657,39128,35.2430448,-120.6209408,6079011503,Rural,3375,,0,0,0, ,"$109,957 ",3,"$70,450 ","$105,600 ",75235,146.15%,High,25800.17918,-120.64072,35.24324,Los Angeles,0,0,ChargePoint Network
2059,2060,1,2060,1,2060,ELEC,THE CREST STATION 2,207 E Seaside Way,,Long Beach,CA,90802,,888-758-4389,E,,Public,24 hours daily,,,,,,1,,,ChargePoint Network,http://www.chargepoint.com/,GPS,33.766037,-118.190634,11/5/2024,156150,2024-11-05 01:17:29 UTC,,,,5/9/2020,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,,6,37,576001,6037576001,5760.01,Census Tract 5760.01,G5020,S,1802546,1343803,33.7607008,-118.1971195,1.21481648,6037576001,1.21481648,6037576001,0.71683756,4,0,6,37,Los Angeles County,576001,6037576001,5760.01,Census Tract 5760.01,1769545,1325186,33.7631159,-118.1938633,6037576001,Urban,5174,Disadvantaged Community,42.18754812,78.29046899,58,CalEnviroScreen 4.0 Top 25%,"$80,462 ",2,"$75,700 ","$76,800 ",75235,106.95%,Middle,8014.480736,-118.190634,33.766037,Los Angeles,1,0,ChargePoint Network
