,Unnamed: 0.1,Unnamed: 0,OBJECTID,Join_Count,TARGET_FID,Join_Count.1,TARGET_FID.1,Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources,STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,Mile2,GEO,Mile2_1,CA_tract,Differ_are,Differ_ran,rural,STATEFP 1,COUNTYFP 1,County,TRACTCE 1,GEOID 1,NAME 1,NAMELSAD 1,ALAND 1,AWATER 1,INTPTLAT 1,INTPTLON 1,Tract,urban_rura,POPULATION,DAC,CIscore,CIscoreP,Traffic_Pc,DAC_cat,MHI_2019_5,Avg_hshld_,HCD_Low_20,HCD_Modera,State_MHI_,State_MHI1,Income_Gro,Shape_Leng,x,y,GreaterRegion,DAC/LIC,DCFC,EV Network Clean,nacs
255,255,547,548,1,548,1,548,ELEC,Ramada Plaza West Hollywood,8585 Santa Monica Blvd.,,West Hollywood,CA,90069,,888-998-2546,E,,Public,24 hours daily,,,,,,8.0,,,Blink Network,http://www.blinkcharging.com/,GPS,34.088515,-118.378373,11/5/2024,95867,2024-11-05 00:19:52 UTC,,,,7/15/2012,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,,6.0,37.0,700502.0,6037700502.0,7005.02,Census Tract 7005.02,G5020,S,504038.0,0.0,34.0902917,-118.3807073,0.19461049,6037700502.0,0.19461049,6037700502.0,1.0,1.0,0.0,6.0,37.0,Los Angeles County,700502.0,6037700502.0,7005.02,Census Tract 7005.02,504038.0,0.0,34.0902917,-118.3807073,6037700502.0,Urban,4387.0,,0.0,0.0,0.0, ,"$73,500 ",1.0,"$66,250 ","$67,200 ",75235.0,97.69%,Middle,3293.601787,-118.378373,34.088515,Los Angeles,0,0,Other,False
256,256,548,549,1,549,1,549,ELEC,City of Hayward - 805 B St,805 B Street,,Hayward,CA,94541,,888-998-2546,E,,Public,24 hours daily,,,,,,10.0,1.0,,Blink Network,http://www.blinkcharging.com/,GPS,37.671483,-122.084149,11/5/2024,95870,2024-11-05 00:15:11 UTC,,,,11/15/2012,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,,6.0,1.0,435400.0,6001435400.0,4354.0,Census Tract 4354,G5020,S,1325172.0,0.0,37.6739167,-122.08317,0.51165176,6001435400.0,0.51165176,6001435400.0,1.0,2.0,0.0,6.0,1.0,Alameda County,435400.0,6001435400.0,4354.0,Census Tract 4354,1328739.0,0.0,37.6739266,-122.0831568,6001435400.0,Urban,4538.0,,0.0,0.0,0.0, ,"$69,375 ",2.0,"$87,700 ","$120,550 ",75235.0,92.21%,Low,5904.83816,-122.084149,37.671483,San Francisco,1,1,Other,False
257,257,549,550,1,550,1,550,ELEC,City of Solana Beach,635 South HGWY 101,,Solana Beach,CA,92075,,888-998-2546,E,,Public,24 hours daily,,,,,,3.0,,,Blink Network,http://www.blinkcharging.com/,GPS,32.983422,-117.270627,11/5/2024,95972,2024-11-05 00:05:52 UTC,,,,7/15/2012,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,,6.0,73.0,17307.0,6073017307.0,173.07,Census Tract 173.07,G5020,S,1473519.0,142918.0,32.9900018,-117.2679956,0.62410933,6073017307.0,0.62410933,6073017307.0,0.91158357,2.0,0.0,6.0,73.0,San Diego County,17304.0,6073017304.0,173.04,Census Tract 173.04,2729735.0,263564.0,32.9903701,-117.2633676,6073017304.0,Urban,5982.0,,0.0,0.0,0.0, ,"$87,667 ",2.0,"$77,600 ","$91,300 ",75235.0,116.52%,Middle,7176.446833,-117.270627,32.983422,San Diego,0,0,Other,False
258,258,550,551,1,551,1,551,ELEC,Providence Holy Cross Medical Center - Cancer Research Center,15031 Rinaldi Street,,Mission Hills,CA,91345,,888-998-2546,E,,Public,24 hours daily,,,,,,9.0,,,Blink Network,http://www.blinkcharging.com/,GPS,34.27922,-118.460143,11/5/2024,95980,2024-11-05 00:12:00 UTC,,,,4/1/2012,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,,6.0,37.0,109100.0,6037109100.0,1091.0,Census Tract 1091,G5020,S,2705905.0,0.0,34.2771624,-118.46316,1.04475598,6037109100.0,1.04475598,6037109100.0,1.0,1.0,0.0,6.0,37.0,Los Angeles County,109100.0,6037109100.0,1091.0,Census Tract 1091,2705905.0,0.0,34.2771624,-118.46316,6037109100.0,Urban,2797.0,Disadvantaged Community,41.97158453,77.98789713,88.8,CalEnviroScreen 4.0 Top 25%,"$67,750 ",3.0,"$85,150 ","$86,400 ",75235.0,90.05%,Low,8026.9328,-118.460143,34.27922,Los Angeles,1,0,Other,False
259,259,551,552,1,552,1,552,ELEC,Providence Holy Cross Medical Center - General Parking,15031 Rinaldi Street,,Mission Hills,CA,91345,,888-998-2546,E,,Public,24 hours daily,,,,,,7.0,,,Blink Network,http://www.blinkcharging.com/,GPS,34.280226,-118.461522,11/5/2024,95982,2024-11-05 00:12:00 UTC,,,,4/1/2012,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,,6.0,37.0,109100.0,6037109100.0,1091.0,Census Tract 1091,G5020,S,2705905.0,0.0,34.2771624,-118.46316,1.04475598,6037109100.0,1.04475598,6037109100.0,1.0,1.0,0.0,6.0,37.0,Los Angeles County,109100.0,6037109100.0,1091.0,Census Tract 1091,2705905.0,0.0,34.2771624,-118.46316,6037109100.0,Urban,2797.0,Disadvantaged Community,41.97158453,77.98789713,88.8,CalEnviroScreen 4.0 Top 25%,"$67,750 ",3.0,"$85,150 ","$86,400 ",75235.0,90.05%,Low,8026.9328,-118.461522,34.280226,Los Angeles,1,0,Other,False
260,260,553,554,1,554,1,554,ELEC,The Famous Pearson Fuel Depot,4067 El Cajon Blvd.,,San Diego,CA,92105,,888-998-2546,E,,Public,24 hours daily,,,,,,5.0,,,Blink Network,http://www.blinkcharging.com/,GPS,32.754954,-117.107457,11/5/2024,96107,2024-11-05 00:11:58 UTC,,,,7/15/2006,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,,6.0,73.0,2202.0,6073002202.0,22.02,Census Tract 22.02,G5020,S,486880.0,0.0,32.7523973,-117.1051018,0.18798727,6073002202.0,0.18798727,6073002202.0,1.0,1.0,0.0,6.0,73.0,San Diego County,2202.0,6073002202.0,22.02,Census Tract 22.02,486881.0,0.0,32.7523973,-117.1051018,6073002202.0,Urban,5477.0,Disadvantaged Community,42.4241827,78.58043369,62.725,CalEnviroScreen 4.0 Top 25%,"$33,731 ",3.0,"$87,300 ","$102,700 ",75235.0,44.83%,Low,2817.290276,-117.107457,32.754954,San Diego,1,0,Other,False
261,261,555,556,1,556,1,556,ELEC,Miramar College - Parking Structure - 1st Floor,10440 Black Mountain Road,,San Diego,CA,92126,,888-998-2546,E,,Public,24 hours daily,,,,,,6.0,,,Blink Network,http://www.blinkcharging.com/,GPS,32.906289,-117.120996,11/5/2024,96117,2024-11-05 00:11:58 UTC,,,,4/1/2012,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,,6.0,73.0,8359.0,6073008359.0,83.59,Census Tract 83.59,G5020,S,1113650.0,0.0,32.9102966,-117.1205023,0.42998185,6073008359.0,0.42998185,6073008359.0,1.0,1.0,0.0,6.0,73.0,San Diego County,8359.0,6073008359.0,83.59,Census Tract 83.59,1113659.0,0.0,32.9102967,-117.1205023,6073008359.0,Urban,4540.0,,0.0,0.0,0.0, ,"$58,494 ",3.0,"$87,300 ","$102,700 ",75235.0,77.75%,Low,4600.476533,-117.120996,32.906289,San Diego,1,0,Other,False
262,262,556,557,1,557,1,557,ELEC,McDonalds - McKee - San Jose CA,2353 McKee Rd,,San Jose,CA,95133,,888-998-2546,E,,Public,24 hours daily,,,,,,2.0,,,Blink Network,http://www.blinkcharging.com/,GPS,37.367108,-121.848602,11/5/2024,96127,2024-11-05 00:07:26 UTC,,,,3/15/2013,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,,6.0,85.0,503708.0,6085503708.0,5037.08,Census Tract 5037.08,G5020,S,1219639.0,0.0,37.3694488,-121.8546251,0.47090538,6085503708.0,0.47090538,6085503708.0,1.0,1.0,0.0,6.0,85.0,Santa Clara County,503708.0,6085503708.0,5037.08,Census Tract 5037.08,1218675.0,0.0,37.3694546,-121.8546252,6085503708.0,Urban,2955.0,,0.0,0.0,0.0, ,"$94,740 ",4.0,"$117,750 ","$181,550 ",75235.0,125.93%,Low,4469.682306,-121.848602,37.367108,San Francisco,1,0,Other,False
263,263,557,558,1,558,1,558,ELEC,San Juan Bautista,50 Muckelemi St,,San Juan Bautista,CA,95045,,888-998-2546,E,,Public,24 hours daily,,,,,,1.0,,,Blink Network,http://www.blinkcharging.com/,GPS,36.844726,-121.5395,11/5/2024,96134,2024-11-05 00:04:13 UTC,,,,10/15/2014,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,,6.0,69.0,200.0,6069000200.0,2.0,Census Tract 2,G5020,S,172688795.0,349899.0,36.8258065,-121.5185645,66.81068844,6069000200.0,66.81068844,6069000200.0,0.00483769,11.0,1.0,6.0,69.0,San Benito County,200.0,6069000200.0,2.0,Census Tract 2,172519304.0,183502.0,36.8258015,-121.5186128,6069000200.0,Rural,6263.0,,0.0,0.0,0.0, ,"$92,423 ",3.0,"$73,450 ","$97,950 ",75235.0,122.85%,Middle,74556.69674,-121.5395,36.844726,Central Other,0,0,Other,False
264,264,558,559,1,559,1,559,ELEC,Solterra South,131 Chambers Street,,El Cajon,CA,92020,,888-998-2546,E,,Public,24 hours daily,,,,,,2.0,,,Blink Network,http://www.blinkcharging.com/,GPS,32.795991,-116.966365,11/5/2024,96188,2024-11-05 00:18:04 UTC,,,,8/15/2014,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,,6.0,73.0,15801.0,6073015801.0,158.01,Census Tract 158.01,G5020,S,627359.0,0.0,32.79689,-116.9593243,0.24222528,6073015801.0,0.24222528,6073015801.0,0.99999996,2.0,0.0,6.0,73.0,San Diego County,15801.0,6073015801.0,158.01,Census Tract 158.01,625483.0,0.0,32.796887,-116.9593301,6073015801.0,Urban,3544.0,,0.0,0.0,0.0, ,"$36,625 ",3.0,"$87,300 ","$102,700 ",75235.0,48.68%,Low,4088.159816,-116.966365,32.795991,San Diego,1,0,Other,False
265,265,559,560,1,560,1,560,ELEC,Britannia Oyster Point II Business Plaza,329 Oyster Point Boulevard,,South San Francisco,CA,94080,,888-998-2546,E,,Public,24 hours daily,,,,,,4.0,,,Blink Network,http://www.blinkcharging.com/,GPS,37.664203,-122.391043,11/5/2024,96220,2024-11-05 00:23:17 UTC,,,,1/21/2015,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,,6.0,81.0,602300.0,6081602300.0,6023.0,Census Tract 6023,G5020,S,10101820.0,3294288.0,37.6516231,-122.3991663,5.17226612,6081602300.0,5.17226612,6081602300.0,0.75497643,4.0,0.0,6.0,81.0,San Mateo County,602300.0,6081602300.0,6023.0,Census Tract 6023,10010608.0,3414184.0,37.6516231,-122.3991663,6081602300.0,Urban,4196.0,Disadvantaged Community,46.08963379,83.33333333,80.7875,CalEnviroScreen 4.0 Top 25%,"$106,080 ",4.0,"$146,350 ","$179,500 ",75235.0,141.00%,Low,19094.34504,-122.391043,37.664203,San Francisco,1,0,Other,False
266,266,560,561,1,561,1,561,ELEC,Mesa College,7250 Mesa College Drive,,San Diego,CA,92111,,888-998-2546,E,,Public,24 hours daily,,,,,,5.0,,,Blink Network,http://www.blinkcharging.com/,GPS,32.804185,-117.165375,11/5/2024,96230,2024-11-05 00:04:09 UTC,,,,1/15/2012,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,,6.0,73.0,8510.0,6073008510.0,85.1,Census Tract 85.10,G5020,S,2029578.0,0.0,32.8083015,-117.1629348,0.78362425,6073008510.0,0.78362425,6073008510.0,1.0,2.0,0.0,6.0,73.0,San Diego County,8510.0,6073008510.0,85.1,Census Tract 85.10,2035609.0,0.0,32.8083089,-117.1629093,6073008510.0,Urban,7083.0,,0.0,0.0,0.0, ,"$62,753 ",3.0,"$87,300 ","$102,700 ",75235.0,83.41%,Low,6396.698508,-117.165375,32.804185,San Diego,1,0,Other,False
267,267,561,562,1,562,1,562,ELEC,8500 Burton Way - Basement Lot,8500 Burton Way,,Los Angeles,CA,90048,,888-998-2546,E,,Public,24 hours daily,,,,,,3.0,,,Blink Network,http://www.blinkcharging.com/,GPS,34.071163,-118.377019,11/5/2024,96441,2024-11-05 00:21:36 UTC,,,,2/15/2013,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,,6.0,37.0,214902.0,6037214902.0,2149.02,Census Tract 2149.02,G5020,S,507191.0,0.0,34.0729569,-118.3800897,0.19582807,6037214902.0,0.19582807,6037214902.0,1.0,2.0,0.0,6.0,37.0,Los Angeles County,214902.0,6037214902.0,2149.02,Census Tract 2149.02,506805.0,0.0,34.0729596,-118.3800926,6037214902.0,Urban,2550.0,,0.0,0.0,0.0, ,"$84,840 ",2.0,"$75,700 ","$76,800 ",75235.0,112.77%,Middle,2987.199302,-118.377019,34.071163,Los Angeles,0,0,Other,False
268,268,562,563,1,563,1,563,ELEC,Equity Office,10 Almaden Blvd.,,San Jose,CA,95113,,888-998-2546,E,,Public,24 hours daily,,,,,,4.0,,,Blink Network,http://www.blinkcharging.com/,GPS,37.333948,-121.894079,11/5/2024,96450,2024-11-05 00:05:54 UTC,,,,5/1/2014,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,,6.0,85.0,500800.0,6085500800.0,5008.0,Census Tract 5008,G5020,S,1723696.0,0.0,37.3306153,-121.8955567,0.66552716,6085500800.0,0.66552716,6085500800.0,1.0,1.0,0.0,6.0,85.0,Santa Clara County,500800.0,6085500800.0,5008.0,Census Tract 5008,1678457.0,0.0,37.3303977,-121.8954308,6085500800.0,Urban,4180.0,,0.0,0.0,0.0, ,"$120,909 ",2.0,"$94,200 ","$145,250 ",75235.0,160.71%,Middle,7023.577594,-121.894079,37.333948,San Francisco,0,0,Other,False
269,269,563,564,1,564,1,564,ELEC,Tennessee Lofts HOA,11500 Tennessee Ave.,,Los Angeles,CA,90064,,888-998-2546,E,,Public,24 hours daily,,,,,,8.0,,,Blink Network,http://www.blinkcharging.com/,GPS,34.034366,-118.44268,11/5/2024,96475,2024-11-05 00:05:54 UTC,,,,8/18/2017,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,,6.0,37.0,267700.0,6037267700.0,2677.0,Census Tract 2677,G5020,S,814658.0,0.0,34.0387217,-118.4441579,0.31454027,6037267700.0,0.31454027,6037267700.0,1.0,1.0,0.0,6.0,37.0,Los Angeles County,267700.0,6037267700.0,2677.0,Census Tract 2677,814659.0,0.0,34.0387217,-118.4441579,6037267700.0,Urban,3276.0,,0.0,0.0,0.0, ,"$94,185 ",2.0,"$75,700 ","$76,800 ",75235.0,125.19%,High,3715.084484,-118.44268,34.034366,Los Angeles,0,0,Other,False
270,270,564,565,1,565,1,565,ELEC,El Norte Parkway Plaza Regency,1000 W El Norte Pkwy,,Escondido,CA,92026,,888-998-2546,E,,Public,24 hours daily,,,,,,2.0,,,Blink Network,http://www.blinkcharging.com/,GPS,33.147829,-117.10766,11/5/2024,96502,2024-11-05 00:05:54 UTC,,,,6/4/2015,,,,,J1772,US,,,,Public,,public,,,,,,,,,,Free,,,,,,,,,,,,,,,,,,,False,,6.0,73.0,20305.0,6073020305.0,203.05,Census Tract 203.05,G5020,S,3474828.0,0.0,33.1506007,-117.108959,1.34163714,6073020305.0,1.34163714,6073020305.0,0.99999999,2.0,0.0,6.0,73.0,San Diego County,20305.0,6073020305.0,203.05,Census Tract 203.05,3458404.0,0.0,33.1505587,-117.1089789,6073020305.0,Urban,6221.0,,0.0,0.0,0.0, ,"$83,936 ",3.0,"$87,300 ","$102,700 ",75235.0,111.57%,Low,10707.86019,-117.10766,33.147829,San Diego,1,0,Other,False
271,271,565,566,1,566,1,566,ELEC,Alpha Energy Management,48273 Lakeview Blvd,,Fremont,CA,94538,,510-550-7161,E,,Public - Credit card at all times,8am-6pm M-F,A Debit M V,,,,,3.0,,,Non-Networked,,200-8,37.466791,-121.929602,9/12/2024,96775,2024-09-12 16:47:34 UTC,P,,,4/2/2018,,,,,J1772,US,,,,Public - Carte de cr茅dit en tout temps,,public,CREDIT_CARD_ALWAYS,,OFFICE_BLDG,,,,,,,$3 per hour,,,,,,,,,,False,,,,,,,,LD,False,,6.0,1.0,441503.0,6001441503.0,4415.03,Census Tract 4415.03,G5020,S,72745500.0,12525279.0,37.4899766,-121.9742068,32.92325384,6001441503.0,32.92325384,6001441503.0,0.32044126,8.0,0.0,6.0,1.0,Alameda County,441503.0,6001441503.0,4415.03,Census Tract 4415.03,77514889.0,12542576.0,37.489775,-121.9743007,6001441503.0,Rural,8013.0,,0.0,0.0,0.0, ,"$174,891 ",3.0,"$98,650 ","$135,650 ",75235.0,232.46%,High,83605.78472,-121.929602,37.466791,San Francisco,0,0,Other,False
272,272,567,568,1,568,1,568,ELEC,City of Santa Monica - Parking Structure 9,1136 4th St,,Santa Monica,CA,90403,,310-458-8529,E,,Public,24 hours daily; pay lot,,,,,,4.0,,,Non-Networked,,GPS,34.020221,-118.499251,1/10/2023,96794,2023-02-14 15:54:11 UTC,LG,,,4/25/2018,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,6.0,37.0,701402.0,6037701402.0,7014.02,Census Tract 7014.02,G5020,S,829444.0,244198.0,34.0190747,-118.503319,0.41453721,6037701402.0,0.41453721,6037701402.0,0.77254813,4.0,0.0,6.0,37.0,Los Angeles County,701402.0,6037701402.0,7014.02,Census Tract 7014.02,829446.0,244198.0,34.0190747,-118.503319,6037701402.0,Urban,5577.0,,0.0,0.0,0.0, ,"$103,590 ",2.0,"$75,700 ","$76,800 ",75235.0,137.69%,High,4604.17553,-118.499251,34.020221,Los Angeles,0,0,Other,False
273,273,568,569,1,569,1,569,ELEC,City of Santa Monica - Lot 9,2901 Neilson Way,Located at the south end at Ashland St,Santa Monica,CA,90405,,310-458-8529,E,,Public,24 hours daily; pay lot,,,,,,6.0,,,Non-Networked,,GPS,33.999203,-118.481415,1/10/2023,96796,2023-02-14 15:54:11 UTC,LG,,,4/8/2019,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,6.0,37.0,702102.0,6037702102.0,7021.02,Census Tract 7021.02,G5020,S,930824.0,200615.0,34.0009853,-118.4807228,0.43684995,6037702102.0,0.43684995,6037702102.0,0.82268945,3.0,0.0,6.0,37.0,Los Angeles County,702102.0,6037702102.0,7021.02,Census Tract 7021.02,931232.0,203768.0,34.0009853,-118.4807228,6037702102.0,Urban,6065.0,,0.0,0.0,0.0, ,"$81,727 ",2.0,"$75,700 ","$76,800 ",75235.0,108.63%,Middle,4827.417182,-118.481415,33.999203,Los Angeles,0,0,Other,False
274,274,569,570,1,570,1,570,ELEC,City of Santa Monica - Lot 7,1217 Euclid St,Euclid St & Wilshire Blvd,Santa Monica,CA,90404,,310-458-8529,E,,Public,24 hours daily; pay lot,,,,,,4.0,,,Non-Networked,,GPS,34.02576,-118.49583,1/10/2023,96797,2023-02-14 15:54:11 UTC,LG,,,4/8/2018,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,$0.30 per kWh,,,,,,,,,,False,,,,,,,,LD,False,,6.0,37.0,701501.0,6037701501.0,7015.01,Census Tract 7015.01,G5020,S,617473.0,0.0,34.0281567,-118.4904213,0.23840702,6037701501.0,0.23840702,6037701501.0,1.0,1.0,0.0,6.0,37.0,Los Angeles County,701501.0,6037701501.0,7015.01,Census Tract 7015.01,617473.0,0.0,34.0281567,-118.4904213,6037701501.0,Urban,5267.0,,0.0,0.0,0.0, ,"$107,621 ",2.0,"$75,700 ","$76,800 ",75235.0,143.05%,High,3769.801821,-118.49583,34.02576,Los Angeles,0,0,Other,False
275,275,570,571,1,571,1,571,ELEC,City of Santa Monica - Lot 8,1146 16th St,,Santa Monica,CA,90403,,310-458-8529,E,,Public,24 hours daily; pay lot,,,,,,2.0,,,Non-Networked,,GPS,34.03,-118.49583,1/10/2023,96798,2023-02-14 15:54:11 UTC,LG,,,4/8/2019,,,,,J1772,US,,,,Public,,public,,,PARKING_LOT,,,,,,,Free,,,,,,,,,,False,,,,,,,,LD,False,,6.0,37.0,701302.0,6037701302.0,7013.02,Census Tract 7013.02,G5020,S,456090.0,0.0,34.0274086,-118.4978403,0.17609681,6037701302.0,0.17609681,6037701302.0,0.99999998,2.0,0.0,6.0,37.0,Los Angeles County,701302.0,6037701302.0,7013.02,Census Tract 7013.02,456090.0,0.0,34.0274086,-118.4978403,6037701302.0,Urban,4868.0,,0.0,0.0,0.0, ,"$92,023 ",2.0,"$75,700 ","$76,800 ",75235.0,122.31%,High,3025.679561,-118.49583,34.03,Los Angeles,0,0,Other,False
276,276,573,574,1,574,1,574,ELEC,Parking Lot B,22240 HWY 152,,Las Banos,CA,93635,,866-816-7584,E,,Public,24 hours daily,,,,,,12.0,,,EV Connect,http://evconnect.com/,GPS,37.058383,-120.895427,11/4/2024,96926,2024-11-04 03:43:49 UTC,,,,4/1/2018,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,6.0,47.0,2100.0,6047002100.0,21.0,Census Tract 21,G5020,S,1428106671.0,69234375.0,36.9542373,-120.9793353,578.1268032,6047002100.0,578.1268032,6047002100.0,0.0,12.0,1.0,6.0,47.0,Merced County,2100.0,6047002100.0,21.0,Census Tract 21,1422390806.0,74674719.0,36.9542373,-120.9793353,6047002100.0,Rural,4246.0,Disadvantaged Community,47.78757446,85.23701462,54.8375,CalEnviroScreen 4.0 Top 25%,"$55,719 ",4.0,"$55,900 ","$84,850 ",75235.0,74.06%,Low,227856.2232,-120.895427,37.058383,Central Other,1,0,Other,False
277,277,574,575,1,575,1,575,ELEC,ESSEX PARK GREEN 6,430 Station Park Cir,,San Mateo,CA,94402,,888-758-4389,E,,Public,24 hours daily,,,,,,1.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,37.554604,-122.30747,11/5/2024,97069,2024-11-05 01:17:58 UTC,,,,5/16/2018,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,6.0,81.0,607600.0,6081607600.0,6076.0,Census Tract 6076,G5020,S,1304925.0,0.0,37.5581261,-122.3066879,0.50383407,6081607600.0,0.50383407,6081607600.0,0.99999998,2.0,0.0,6.0,81.0,San Mateo County,607600.0,6081607600.0,6076.0,Census Tract 6076,1304927.0,0.0,37.5581261,-122.3066879,6081607600.0,Urban,3611.0,,0.0,0.0,0.0, ,"$122,614 ",3.0,"$131,750 ","$161,550 ",75235.0,162.97%,Low,4920.57378,-122.30747,37.554604,San Francisco,1,0,ChargePoint Network,False
278,278,576,577,1,577,1,577,ELEC,AQMD - gateway D32,21865 Copley Drive,,Diamond Bar,CA,91765,,855-900-7584,E,,Public,24 hours daily,,,,,,9.0,,,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,200-9,34.001271,-117.8289,11/4/2024,99160,2024-11-04 03:27:09 UTC,,,,6/14/2018,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,6.0,37.0,403323.0,6037403323.0,4033.23,Census Tract 4033.23,G5020,S,3148181.0,0.0,33.9983914,-117.8239389,1.21552135,6037403323.0,1.21552135,6037403323.0,1.0,1.0,0.0,6.0,37.0,Los Angeles County,403323.0,6037403323.0,4033.23,Census Tract 4033.23,3016465.0,0.0,33.9980595,-117.8237197,6037403323.0,Urban,5494.0,,0.0,0.0,0.0, ,"$90,902 ",3.0,"$85,150 ","$86,400 ",75235.0,120.82%,High,7690.742487,-117.8289,34.001271,Los Angeles,0,0,Other,False
279,279,577,578,1,578,1,578,ELEC,Westchester Loyola Village,7114 Westmachester Ave,,Los Angeles,CA,90045,,855-900-7584,E,,Public,24 hours daily,,,,,,2.0,,,SHELL_RECHARGE,https://www.shell.us/motorist/electric-vehicle-charging.html,GPS,33.959206,-118.417298,11/4/2024,99174,2024-11-04 03:25:51 UTC,,,,6/14/2018,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,,6.0,37.0,278001.0,6037278001.0,2780.01,Census Tract 2780.01,G5020,S,1614008.0,779.0,33.9559664,-118.402225,0.62347053,6037278001.0,0.62347053,6037278001.0,0.99999999,2.0,0.0,6.0,37.0,Los Angeles County,278001.0,6037278001.0,2780.01,Census Tract 2780.01,1614002.0,779.0,33.9559664,-118.402225,6037278001.0,Urban,2508.0,,0.0,0.0,0.0, ,"$109,468 ",3.0,"$85,150 ","$86,400 ",75235.0,145.50%,High,7727.209508,-118.417298,33.959206,Los Angeles,0,0,Other,False
